                                                  
                                                                                                                                                                                                                                                                
        SCF,CCSD
      0.00000000,      0.00000000
      0.00000000,      0.00000000
      0.00000000,      0.00000000
      0.00000000,      0.00000000
      0.00000000,      0.00000000
      0.00000000,      0.00000000
   -166.41980725,   -167.11836424
   -164.47112179,   -165.09552144
   -161.75582967,   -162.30580108
   -157.82289098,   -158.34527090
   -152.94928135,   -153.43981137
   -146.99717764,   -147.46609866
   -139.89794245,   -140.35634626
   -131.66800742,   -132.11233183
    -42.73272841,    -42.84494445
   -168.41419030,   -169.40312438
                                                  
